id,date,message,Symbol,OrderType,EntryPrice,SL,TP1,TP2,TP3,TP4
4432,2023-03-16 13:03:03+00:00,"XAUUSD SELL    1929.00
SL 1940
TP 1926
TP 1920
TP 1915
TP 1870",XAUUSD,SELL ,1929.0,1940.0,1926.0,1920.0,1915.0,1870.0
4425,2023-03-15 06:27:23+00:00,"XAUUSD SELL STOP    1899.00
SL 1910
TP 1896
TP 1890
TP 1880
TP 1850",XAUUSD,SELL STOP,1899.0,1910.0,1896.0,1890.0,1880.0,1850.0
4413,2023-03-13 14:36:09+00:00,"XAUUSD SELL    1907.00
SL 1918
TP 1903
TP 1900
TP 1890
TP 1860 USE Big lot size ✅",XAUUSD,SELL ,1907.0,1918.0,1903.0,1900.0,1890.0,1860.0
4411,2023-03-13 13:08:21+00:00,"XAUUSD SELL STOP   1896.00
SL 1906
TP 1893
TP 1888
TP 1870
TP 1840",XAUUSD,SELL STOP,1896.0,1906.0,1893.0,1888.0,1870.0,1840.0
4408,2023-03-13 10:17:39+00:00,"XAUUSD SELL   1885.00
SL 1895
TP 1882
TP 1877
TP 1865
TP 1800",XAUUSD,SELL ,1885.0,1895.0,1882.0,1877.0,1865.0,1800.0
4400,2023-03-10 15:45:43+00:00,"XAUUSD SELL  STOP  1865.00
SL 1875
TP 1862
TP 1857
TP 1850
TP 1770",XAUUSD,SELL STOP,1865.0,1875.0,1862.0,1857.0,1850.0,1770.0
4391,2023-03-09 14:42:27+00:00,"US30 SELL  32920
SL 33050
TP 32890
TP 32820
TP 32750
TP 32300",US30,SELL ,32920.0,33050.0,32890.0,32820.0,32750.0,32300.0
4390,2023-03-09 14:26:07+00:00,"XAUUSD SELL    1827.00
SL 1835
TP 1824
TP 1820
TP 1810
TP 1770",XAUUSD,SELL ,1827.0,1835.0,1824.0,1820.0,1810.0,1770.0
4387,2023-03-09 08:48:33+00:00,"XAUUSD SELL    1818.00
SL 1828
TP 1815
TP 1810
TP 1800
TP 1770",XAUUSD,SELL ,1818.0,1828.0,1815.0,1810.0,1800.0,1770.0
4382,2023-03-08 15:38:05+00:00,"XAUUSD SELL    1823.00
SL 1830
TP 1820
TP 1815
TP 1805
TP 1770",XAUUSD,SELL ,1823.0,1830.0,1820.0,1815.0,1805.0,1770.0
